[2022-02-16 04:38:58,417][root][INFO] - Cleaning data and saving clean version
[2022-02-16 04:38:59,535][root][INFO] - Train/Test model procedure started
[2022-02-16 04:39:01,356][root][INFO] - Accuracy mean: 0.791713559948082
[2022-02-16 04:39:01,357][root][INFO] - Accuracy std: 0.006776992521856153
[2022-02-16 04:39:01,359][root][INFO] - Score check procedure started
[2022-02-16 04:39:01,391][root][INFO] - Precision: 0.7269439421338155 Recall:0.2630890052356021 F Beta Score:0.3863527150408457
[2022-02-16 04:39:01,413][root][INFO] - workclass - Precision:0.7166212534059946 Recall:0.26754832146490337 F Beta Score: 0.38962962962962966
[2022-02-16 04:39:01,419][root][INFO] - workclass - Precision:0.6825396825396826 Recall:0.2986111111111111 F Beta Score: 0.41545893719806765
[2022-02-16 04:39:01,424][root][INFO] - workclass - Precision:0.75 Recall:0.16216216216216217 F Beta Score: 0.26666666666666666
[2022-02-16 04:39:01,430][root][INFO] - workclass - Precision:0.7142857142857143 Recall:0.2112676056338028 F Beta Score: 0.3260869565217391
[2022-02-16 04:39:01,435][root][INFO] - workclass - Precision:0.7727272727272727 Recall:0.25757575757575757 F Beta Score: 0.38636363636363635
[2022-02-16 04:39:01,440][root][INFO] - workclass - Precision:0.8604651162790697 Recall:0.31092436974789917 F Beta Score: 0.45679012345679015
[2022-02-16 04:39:01,445][root][INFO] - workclass - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-16 04:39:01,450][root][INFO] - education - Precision:0.3333333333333333 Recall:0.13333333333333333 F Beta Score: 0.19047619047619044
[2022-02-16 04:39:01,461][root][INFO] - education - Precision:0.574468085106383 Recall:0.25077399380804954 F Beta Score: 0.3491379310344828
[2022-02-16 04:39:01,471][root][INFO] - education - Precision:0.5882352941176471 Recall:0.18726591760299627 F Beta Score: 0.2840909090909091
[2022-02-16 04:39:01,475][root][INFO] - education - Precision:0.0 Recall:0.0 F Beta Score: 0.0
[2022-02-16 04:39:01,483][root][INFO] - education - Precision:0.864 Recall:0.2679900744416873 F Beta Score: 0.40909090909090906
