[2022-02-10 07:48:49,252][root][INFO] - Cleaning data and saving clean version
[2022-02-10 07:48:52,425][root][INFO] - relationship - Precision:0.8241758241758241 Recall:0.26064291920069504 F Beta Score: 0.396039603960396
[2022-02-10 07:48:52,431][root][INFO] - relationship - Precision:0.4375 Recall:0.32558139534883723 F Beta Score: 0.37333333333333335
[2022-02-10 07:48:52,438][root][INFO] - relationship - Precision:0.2222222222222222 Recall:0.3157894736842105 F Beta Score: 0.2608695652173913
[2022-02-10 07:48:52,443][root][INFO] - relationship - Precision:0.25 Recall:0.2222222222222222 F Beta Score: 0.23529411764705882
[2022-02-10 07:48:52,449][root][INFO] - race - Precision:0.5555555555555556 Recall:0.29411764705882354 F Beta Score: 0.3846153846153846
[2022-02-10 07:48:52,476][root][INFO] - race - Precision:0.6978557504873294 Recall:0.26169590643274854 F Beta Score: 0.38064859117490696
[2022-02-10 07:48:52,482][root][INFO] - race - Precision:0.8888888888888888 Recall:0.3018867924528302 F Beta Score: 0.45070422535211263
[2022-02-10 07:48:52,487][root][INFO] - race - Precision:0.5 Recall:0.25 F Beta Score: 0.3333333333333333
[2022-02-10 07:48:52,492][root][INFO] - race - Precision:0.5 Recall:0.25 F Beta Score: 0.3333333333333333
[2022-02-10 07:48:52,502][root][INFO] - sex - Precision:0.5 Recall:0.2783018867924528 F Beta Score: 0.35757575757575755
[2022-02-10 07:48:52,519][root][INFO] - sex - Precision:0.7417943107221007 Recall:0.26218097447795824 F Beta Score: 0.38742857142857146
[2022-02-10 07:48:52,551][root][INFO] - native_country - Precision:0.6858736059479554 Recall:0.2647058823529412 F Beta Score: 0.38198757763975155
[2022-02-10 07:48:52,557][root][INFO] - native_country - Precision:0.6 Recall:0.3333333333333333 F Beta Score: 0.42857142857142855
[2022-02-10 07:48:52,561][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,566][root][INFO] - native_country - Precision:0.5 Recall:0.16666666666666666 F Beta Score: 0.25
[2022-02-10 07:48:52,570][root][INFO] - native_country - Precision:1.0 Recall:0.3333333333333333 F Beta Score: 0.5
[2022-02-10 07:48:52,575][root][INFO] - native_country - Precision:1.0 Recall:0.3333333333333333 F Beta Score: 0.5
[2022-02-10 07:48:52,579][root][INFO] - native_country - Precision:1.0 Recall:0.2 F Beta Score: 0.33333333333333337
[2022-02-10 07:48:52,583][root][INFO] - native_country - Precision:0.8 Recall:0.4 F Beta Score: 0.5333333333333333
[2022-02-10 07:48:52,588][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,592][root][INFO] - native_country - Precision:1.0 Recall:0.2857142857142857 F Beta Score: 0.4444444444444445
[2022-02-10 07:48:52,597][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,601][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,605][root][INFO] - native_country - Precision:1.0 Recall:0.5 F Beta Score: 0.6666666666666666
[2022-02-10 07:48:52,610][root][INFO] - native_country - Precision:1.0 Recall:0.5 F Beta Score: 0.6666666666666666
[2022-02-10 07:48:52,614][root][INFO] - native_country - Precision:0.75 Recall:0.3 F Beta Score: 0.4285714285714285
[2022-02-10 07:48:52,619][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,624][root][INFO] - native_country - Precision:1.0 Recall:0.5 F Beta Score: 0.6666666666666666
[2022-02-10 07:48:52,628][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,633][root][INFO] - native_country - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,637][root][INFO] - native_country - Precision:0.8 Recall:0.36363636363636365 F Beta Score: 0.5000000000000001
[2022-02-10 07:48:52,641][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,646][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,650][root][INFO] - native_country - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,655][root][INFO] - native_country - Precision:0.0 Recall:0.0 F Beta Score: 0.0
