[2022-02-10 20:33:29,454][root][INFO] - Cleaning data and saving clean version
[2022-02-10 20:33:30,264][root][INFO] - Train/Test model procedure started
[2022-02-10 20:33:32,193][root][INFO] - Accuracy mean: 0.7900543425551628
[2022-02-10 20:33:32,193][root][INFO] - Accuracy std: 0.0073605462151040855
[2022-02-10 20:33:32,195][root][INFO] - Score check procedure started
[2022-02-10 20:33:32,213][root][INFO] - workclass - Precision:0.7931034482758621 Recall:0.2967741935483871 F Beta Score: 0.43192488262910794
[2022-02-10 20:33:32,234][root][INFO] - workclass - Precision:0.7 Recall:0.25 F Beta Score: 0.3684210526315789
[2022-02-10 20:33:32,240][root][INFO] - workclass - Precision:0.782608695652174 Recall:0.2647058823529412 F Beta Score: 0.3956043956043956
[2022-02-10 20:33:32,245][root][INFO] - workclass - Precision:0.6666666666666666 Recall:0.24561403508771928 F Beta Score: 0.358974358974359
[2022-02-10 20:33:32,250][root][INFO] - workclass - Precision:1.0 Recall:0.3620689655172414 F Beta Score: 0.5316455696202532
[2022-02-10 20:33:32,256][root][INFO] - workclass - Precision:0.6451612903225806 Recall:0.20618556701030927 F Beta Score: 0.31249999999999994
[2022-02-10 20:33:32,260][root][INFO] - workclass - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 20:33:32,271][root][INFO] - education - Precision:0.5939849624060151 Recall:0.2200557103064067 F Beta Score: 0.32113821138211385
[2022-02-10 20:33:32,278][root][INFO] - education - Precision:0.8409090909090909 Recall:0.27889447236180903 F Beta Score: 0.41886792452830185
[2022-02-10 20:33:32,284][root][INFO] - education - Precision:0.6923076923076923 Recall:0.3 F Beta Score: 0.41860465116279066
[2022-02-10 20:33:32,292][root][INFO] - education - Precision:0.6363636363636364 Recall:0.22134387351778656 F Beta Score: 0.3284457478005865
[2022-02-10 20:33:32,297][root][INFO] - education - Precision:0.7777777777777778 Recall:0.21212121212121213 F Beta Score: 0.3333333333333333
[2022-02-10 20:33:32,302][root][INFO] - education - Precision:0.9354838709677419 Recall:0.3717948717948718 F Beta Score: 0.5321100917431193
[2022-02-10 20:33:32,306][root][INFO] - education - Precision:0.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 20:33:32,311][root][INFO] - education - Precision:0.3333333333333333 Recall:0.25 F Beta Score: 0.28571428571428575
[2022-02-10 20:33:32,317][root][INFO] - education - Precision:0.9354838709677419 Recall:0.32222222222222224 F Beta Score: 0.47933884297520657
[2022-02-10 20:33:32,321][root][INFO] - education - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 20:33:32,326][root][INFO] - education - Precision:0.3333333333333333 Recall:0.16666666666666666 F Beta Score: 0.2222222222222222
[2022-02-10 20:33:32,331][root][INFO] - education - Precision:0.3333333333333333 Recall:0.3333333333333333 F Beta Score: 0.3333333333333333
[2022-02-10 20:33:32,336][root][INFO] - education - Precision:0.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 20:33:32,340][root][INFO] - education - Precision:0.5 Recall:0.3333333333333333 F Beta Score: 0.4
[2022-02-10 20:33:32,345][root][INFO] - education - Precision:1.0 Recall:0.3230769230769231 F Beta Score: 0.48837209302325585
[2022-02-10 20:33:32,349][root][INFO] - education - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 20:33:32,362][root][INFO] - marital_status - Precision:0.8363171355498721 Recall:0.2525096525096525 F Beta Score: 0.38790035587188615
[2022-02-10 20:33:32,372][root][INFO] - marital_status - Precision:0.40350877192982454 Recall:0.25 F Beta Score: 0.3087248322147651
[2022-02-10 20:33:32,377][root][INFO] - marital_status - Precision:0.38461538461538464 Recall:0.4166666666666667 F Beta Score: 0.4
[2022-02-10 20:33:32,384][root][INFO] - marital_status - Precision:0.5535714285714286 Recall:0.3924050632911392 F Beta Score: 0.45925925925925926
[2022-02-10 20:33:32,389][root][INFO] - marital_status - Precision:0.21428571428571427 Recall:0.2 F Beta Score: 0.20689655172413796
[2022-02-10 20:33:32,394][root][INFO] - marital_status - Precision:0.75 Recall:0.6 F Beta Score: 0.6666666666666665
[2022-02-10 20:33:32,398][root][INFO] - marital_status - Precision:1.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 20:33:32,403][root][INFO] - occupation - Precision:0.7777777777777778 Recall:0.42424242424242425 F Beta Score: 0.5490196078431373
[2022-02-10 20:33:32,409][root][INFO] - occupation - Precision:0.64 Recall:0.25 F Beta Score: 0.3595505617977528
[2022-02-10 20:33:32,415][root][INFO] - occupation - Precision:0.5434782608695652 Recall:0.25252525252525254 F Beta Score: 0.3448275862068966
[2022-02-10 20:33:32,422][root][INFO] - occupation - Precision:0.8211382113821138 Recall:0.28133704735376047 F Beta Score: 0.4190871369294606
[2022-02-10 20:33:32,429][root][INFO] - occupation - Precision:0.9180327868852459 Recall:0.3018867924528302 F Beta Score: 0.4543610547667342
[2022-02-10 20:33:32,435][root][INFO] - occupation - Precision:0.3157894736842105 Recall:0.20689655172413793 F Beta Score: 0.25
[2022-02-10 20:33:32,440][root][INFO] - occupation - Precision:0.6363636363636364 Recall:0.3181818181818182 F Beta Score: 0.4242424242424242
[2022-02-10 20:33:32,446][root][INFO] - occupation - Precision:0.3333333333333333 Recall:0.13953488372093023 F Beta Score: 0.19672131147540986
[2022-02-10 20:33:32,452][root][INFO] - occupation - Precision:0.7678571428571429 Recall:0.24431818181818182 F Beta Score: 0.3706896551724138
[2022-02-10 20:33:32,459][root][INFO] - occupation - Precision:0.6060606060606061 Recall:0.19704433497536947 F Beta Score: 0.29739776951672864
[2022-02-10 20:33:32,464][root][INFO] - occupation - Precision:0.8125 Recall:0.21311475409836064 F Beta Score: 0.3376623376623376
[2022-02-10 20:33:32,468][root][INFO] - occupation - Precision:0.6923076923076923 Recall:0.21951219512195122 F Beta Score: 0.3333333333333333
[2022-02-10 20:33:32,473][root][INFO] - occupation - Precision:0.0 Recall:1.0 F Beta Score: 0.0
[2022-02-10 20:33:32,477][root][INFO] - occupation - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 20:33:32,489][root][INFO] - relationship - Precision:0.8367346938775511 Recall:0.25264084507042256 F Beta Score: 0.3881000676132523
[2022-02-10 20:33:32,498][root][INFO] - relationship - Precision:0.5113636363636364 Recall:0.3 F Beta Score: 0.3781512605042017
[2022-02-10 20:33:32,505][root][INFO] - relationship - Precision:0.21739130434782608 Recall:0.38461538461538464 F Beta Score: 0.27777777777777773
[2022-02-10 20:33:32,511][root][INFO] - relationship - Precision:0.45454545454545453 Recall:0.35714285714285715 F Beta Score: 0.4
[2022-02-10 20:33:32,516][root][INFO] - relationship - Precision:0.8636363636363636 Recall:0.24516129032258063 F Beta Score: 0.38190954773869346
[2022-02-10 20:33:32,522][root][INFO] - relationship - Precision:0.5 Recall:0.4 F Beta Score: 0.4444444444444445
[2022-02-10 20:33:32,527][root][INFO] - race - Precision:0.6923076923076923 Recall:0.20930232558139536 F Beta Score: 0.32142857142857145
